uid,base_price,special_price,ap_start_date,ap_end_date,duration,service_name,service_caption,service_group_name,service_pricing_id,created_date,updated_date,appointment_id,final_price,deleted,booking_id,extra_time
111,20,20,2025-07-13 16:00:00,2025-07-13 16:15:00,15,Hips (Buttocks),,"",1249,2025-07-08 10:09:17.447921,2025-07-08 10:09:17.447921,353014,20,f,145790,
111,75,50,2025-07-13 16:15:00,2025-07-13 16:55:00,40,Hollywood & Full Legs,,"",1461,2025-07-08 10:09:17.447921,2025-07-08 10:09:17.447921,353015,50,f,145790,
111,30,25,2025-07-13 11:00:00,2025-07-13 11:30:00,30,Shellac Polish (Shape & Polish),,"",1281,2025-07-08 10:10:51.201136,2025-07-08 10:10:51.201136,353016,25,f,145863,
111,20,15,2025-07-13 11:30:00,2025-07-13 11:55:00,25,File & Polish,,"",1284,2025-07-08 10:10:51.201136,2025-07-08 10:10:51.201136,353017,15,f,145863,
113,35,35,2025-07-12 10:00:00,2025-07-12 11:00:00,60,Wash & Blowdry,Medium,"",1175,2025-07-08 10:12:07.409949,2025-07-08 10:12:07.409949,353018,35,f,145864,
119,30,20,2025-07-11 10:10:00,2025-07-11 10:30:00,20,Full Arms,,"",1236,2025-07-08 09:52:19.524549,2025-07-08 09:52:19.524549,352997,20,f,145858,
119,40,35,2025-07-11 10:40:00,2025-07-11 11:05:00,25,Hollywood,,"",1275,2025-07-08 09:52:19.524549,2025-07-08 09:52:19.524549,352999,35,f,145858,
119,15,12,2025-07-11 10:30:00,2025-07-11 10:40:00,10,Underarms (Hot Wax),,"",1238,2025-07-08 09:52:19.524549,2025-07-08 09:52:19.524549,352998,12,f,145858,
119,35,30,2025-07-11 11:05:00,2025-07-11 11:30:00,25,Full Face With Eyebrows,Waxing,"",1145,2025-07-08 09:52:19.524549,2025-07-08 09:52:19.524549,352996,30,f,145858,
119,25,18,2025-07-11 18:40:00,2025-07-11 18:55:00,15,Half Legs,,"",1240,2025-07-07 17:43:29.714484,2025-07-07 17:43:29.714484,352965,18,f,145844,
119,40,35,2025-07-11 18:55:00,2025-07-11 19:20:00,25,Hollywood,,"",1275,2025-07-07 17:43:29.714484,2025-07-07 17:43:29.714484,352966,35,f,145844,
119,15,12,2025-07-11 18:30:00,2025-07-11 18:40:00,10,Underarms (Hot Wax),,"",1238,2025-07-07 17:43:29.714484,2025-07-07 17:43:29.714484,352964,12,f,145844,
67,40,40,2025-07-18 18:00:00,2025-07-18 19:00:00,60,BAIB overlay,,"",1456,2025-07-08 13:10:17.615677,2025-07-08 13:10:17.615677,353091,40,f,145891,
67,40,40,2025-07-12 14:30:00,2025-07-12 15:20:00,50,Wash & Blow Dry,Long price,"",347,2025-07-08 11:41:47.765215,2025-07-08 11:41:47.765215,353070,40,f,145878,
111,25,20,2025-07-11 12:00:00,2025-07-11 12:30:00,30,Express Manicure,,"",1278,2025-07-08 11:45:49.9603,2025-07-08 11:45:49.9603,353071,20,f,145879,
111,30,30,2025-07-11 12:30:00,2025-07-11 13:00:00,30,"Express Pedicure ( Shape, Cuticle, Buff & Polish)",,"",1285,2025-07-08 11:45:49.9603,2025-07-08 11:45:49.9603,353072,30,f,145879,
98,36,36,2025-07-12 13:00:00,2025-07-12 13:50:00,50,Individual Eyelash (2 Week Topup),,"",235,2025-07-08 13:51:32.04417,2025-07-08 13:51:32.04417,353110,36,f,145899,
